"filename", "language", "C", "Makefile", "C++", "Markdown", "comment", "blank", "total"
"/home/ehosta/Documents/push_swap/libft/src/str/ft_strncmp.c", "C", 23, 0, 0, 0, 11, 3, 37
"/home/ehosta/Documents/push_swap/libft/src/str/ft_strnstr.c", "C", 26, 0, 0, 0, 11, 4, 41
"/home/ehosta/Documents/push_swap/libft/src/str/ft_strrchr.c", "C", 12, 0, 0, 0, 11, 4, 27
"/home/ehosta/Documents/push_swap/libft/src/str/ft_strtrim.c", "C", 35, 0, 0, 0, 11, 7, 53
"/home/ehosta/Documents/push_swap/libft/src/str/ft_substr.c", "C", 34, 0, 0, 0, 11, 7, 52
"/home/ehosta/Documents/push_swap/libft/src/to/ft_atoi.c", "C", 26, 0, 0, 0, 11, 4, 41
"/home/ehosta/Documents/push_swap/libft/src/to/ft_itoa.c", "C", 63, 0, 0, 0, 11, 9, 83
"/home/ehosta/Documents/push_swap/libft/src/to/ft_tolower.c", "C", 7, 0, 0, 0, 11, 3, 21
"/home/ehosta/Documents/push_swap/libft/src/to/ft_toupper.c", "C", 7, 0, 0, 0, 11, 3, 21
"/home/ehosta/Documents/push_swap/libft/variables.mk", "Makefile", 0, 100, 0, 0, 11, 4, 115
"/home/ehosta/Documents/push_swap/src/env/env_manager.c", "C", 53, 0, 0, 0, 11, 9, 73
"/home/ehosta/Documents/push_swap/src/env/stack_getter.c", "C", 50, 0, 0, 0, 11, 7, 68
"/home/ehosta/Documents/push_swap/src/env/stack_manager.c", "C", 61, 0, 0, 0, 11, 9, 81
"/home/ehosta/Documents/push_swap/src/init.c", "C", 126, 0, 0, 0, 11, 13, 150
"/home/ehosta/Documents/push_swap/src/main.c", "C", 70, 0, 0, 0, 13, 10, 93
"/home/ehosta/Documents/push_swap/src/moves/push.c", "C", 40, 0, 0, 0, 11, 9, 60
"/home/ehosta/Documents/push_swap/src/moves/reverse_rotate.c", "C", 19, 0, 0, 0, 11, 3, 33
"/home/ehosta/Documents/push_swap/src/moves/rotate.c", "C", 19, 0, 0, 0, 11, 3, 33
"/home/ehosta/Documents/push_swap/src/moves/swap.c", "C", 23, 0, 0, 0, 11, 5, 39
"/home/ehosta/Documents/push_swap/src/sorting/bucket_manager.c", "C", 50, 0, 0, 0, 11, 8, 69
"/home/ehosta/Documents/push_swap/src/sorting/bucket_sort.c", "C", 41, 0, 0, 0, 11, 7, 59
"/home/ehosta/Documents/push_swap/src/sorting/bucket_sort_utils.c", "C", 18, 0, 0, 0, 11, 4, 33
"/home/ehosta/Documents/push_swap/src/sorting/is_sorted.c", "C", 23, 0, 0, 0, 11, 4, 38
"/home/ehosta/Documents/push_swap/src/sorting/selection_sort.c", "C", 25, 0, 0, 0, 11, 4, 40
"/home/ehosta/Documents/push_swap/src/sorting/sort_n_elements.c", "C", 24, 0, 0, 0, 11, 4, 39
"/home/ehosta/Documents/push_swap/src/wall/check_argv.c", "C", 92, 0, 0, 0, 11, 11, 114
"Total", "-", 1779, 188, 104, 4, 959, 432, 3466
